isocode,country_x,ln_maddison_pcgdp2000,ln_export_area,ln_export_pop,colony0,colony1,colony2,colony3,colony4,colony5,colony6,colony7,abs_latitude,longitude,rain_min,humid_max,low_temp,ln_coastline_area,island_dum,islam,legor_fr,legor_uk,region_n,region_s,region_w,region_e,region_c,ln_avg_gold_pop,ln_avg_oil_pop,ln_avg_all_diamonds_pop,ln_pop_dens_1400,atlantic_distance_minimum,indian_distance_minimum,saharan_distance_minimum,red_sea_distance_minimum,ethnic_fractionalization,state_dev,land_area,LN_GDPPC$_2021
MUS,Mauritius,9.273503,-2.3025851,3.912023,0,1,0,0,0,0,0,0,20,57.79387,0,74,10,4.5555735,1,13,1,0,0,0,0,1,0,-13.815511,-9.2103405,-6.9077554,-2.3025851,10.310096,0.03190955,6.273852,3.8837142,0.4634,,0.00186,9068.980181
MAR,Morocco,7.8853292,-2.3025851,3.912023,0,0,1,0,0,0,0,0,33,-6.35425,0,72,0,1.4149623,0,99,1,0,1,0,0,0,0,-5.4725213,-7.7791405,-6.9077554,1.2681983,5.7939663,13.675612,1.0225959,4.5706105,0.4841,0.81,0.447,3767.524902
MOZ,Mozambique,7.2668276,6.6597753,12.701247,0,0,0,1,0,0,0,0,23,35.58901,13,67,7,1.1248648,0,13,1,0,0,1,0,0,0,-5.6486306,-9.2103405,-6.9077554,-0.020147951,9.264256,2.1853728,5.267768,3.298301,0.6932,0.844,0.802,504.0377871
NAM,Namibia,8.24144,-1.4653018,7.080479,0,0,0,0,0,0,1,0,24,17.21072,0,35,-4,0.59236085,0,0,0,1,0,1,0,0,0,-0.6370343,-9.2103405,0.2363898,-2.1212907,5.682842,5.792154,5.980785,4.6850657,0.6329,0.664,0.824,4919.188955
NER,Niger,6.22059,2.752292,9.695232,0,0,1,0,0,0,0,0,13,9.3731,0,68,8,-4.6051702,0,90,1,0,0,0,1,0,0,-5.203685,-9.2103405,-6.9077554,-0.58696204,5.1585155,9.223114,1.7682153,2.9538758,0.6518,0.582,1.27,590.6294948
NGA,Nigeria,7.052721,7.690816,12.088366,0,1,0,0,0,0,0,0,9,8.10141,25,80,16,-0.0799525,0,45,0,1,0,0,1,0,0,-11.85755,0.13403782,-6.9077554,1.8214788,5.2243314,9.150605,2.6416843,3.314152,0.8505,0.478,0.924,2065.77441
RWA,Rwanda,6.7214255,-2.3025851,3.912023,0,0,0,0,1,0,0,0,2,29.91774,7,83,12,-4.6051702,0,9,1,0,0,0,0,1,0,-3.5035248,-9.2103405,-6.9077554,2.945036,10.753802,2.6227405,3.5678132,2.1017318,0.3238,0.982,0.0263,821.1713948
STP,Sao Tome & Principe,7.111512,-2.3025851,3.912023,0,0,0,1,0,0,0,0,0.2,6.68778,0,79,13,5.3831563,1,0,1,0,0,0,0,0,1,-13.815511,-9.2103405,-6.9077554,-2.3025851,5.1966968,8.474005,3.6702,3.9321845,,,0.00096,2350.452701
SEN,Senegal,7.267525,7.5616875,12.916817,0,0,1,0,0,0,0,0,14,-14.46586,0,74,12,0.99664736,0,91,1,0,0,0,1,0,0,-13.815511,-9.2103405,-6.9077554,0.8638997,3.8977208,10.790678,3.034838,5.5183187,0.6939,0.694,0.196,1633.560119
SYC,Seychelles,8.75684,-2.3025851,3.912023,0,0,1,0,0,0,0,0,4,55.37541,69,78,19,6.983902,1,0,1,0,0,0,0,1,0,-13.815511,-9.2103405,-6.9077554,-2.3025851,11.457413,1.7421923,4.635344,2.2528563,0.2025,,0.000455,12963.05898
SLE,Sierra Leone,5.9375362,6.8781257,11.4790535,0,1,0,0,0,0,0,0,8,-11.79189,3,82,19,1.7239614,0,39,0,1,0,0,1,0,0,-3.5533953,-9.2103405,-1.5361413,1.6181005,3.705474,10.18761,3.4735081,5.4096355,0.8191,0.008,0.0717,504.6212876
SOM,Somalia,6.7604146,3.9237642,10.373267,0,1,0,0,0,0,0,0,5,45.93132,0,80,15,1.5579796,0,100,0,1,0,0,0,1,0,-13.815511,-9.2103405,-6.9077554,0.060628325,12.057795,2.358296,3.0903037,0.6954757,0.8117,0.034,0.638,576.5236782
ZAF,South Africa,8.32821,0.5095113,7.0112686,0,1,0,0,0,0,0,0,30,25.14831,8,67,-2,0.85893947,0,1,0,1,0,1,0,0,0,3.0843036,-5.725029,-1.2016081,-0.9186776,6.765942,3.4572046,6.583775,4.89507,0.7517,,1.22,7073.612754
SDN,Sudan,6.8987145,5.841245,11.956321,0,1,0,0,0,0,0,0,12,30.04159,0,41,5,-1.0792785,0,73,0,1,0,0,0,1,0,-3.1810873,-4.4884624,-6.9077554,0.40847522,15.252874,3.5275278,1.8271227,0.98308295,0.7147,0.576,2.51,749.7067871
SWZ,Swaziland,7.865572,-2.3025851,3.912023,0,1,0,0,0,0,0,0,26,31.49749,20,81,-5,-4.6051702,0,0,0,1,0,1,0,0,0,-13.815511,-9.2103405,-4.457984,-0.61765355,8.290959,2.622083,6.294675,4.422592,0.0582,1,0.0174,4068.573816
TZA,Tanzania,6.261492,6.3385105,12.101938,0,1,0,0,0,0,0,0,4,34.81658,0,56,8,0.40722722,0,33,0,1,0,0,0,1,0,-3.1614444,-9.2103405,-4.1869283,0.4596342,10.594967,2.5582147,4.05628,2.1867201,0.7353,0.669,0.945,1146.031982
TGO,Togo,6.35437,8.536835,13.28513,0,0,1,0,0,0,0,0,6,0.97634,15,77,15,-0.014184646,0,12,1,0,0,0,1,0,0,-13.815511,-9.2103405,-6.9077554,1.4707341,4.92623,9.258235,3.0091057,4.0849056,0.7099,0.622,0.0568,976.6661831
TUN,Tunisia,8.420241,-2.3025851,3.912023,0,0,1,0,0,0,0,0,36,9.56295,3,64,-1,1.9476508,0,99,1,0,1,0,0,0,0,-13.815511,-0.37812528,-6.9077554,1.629374,7.479859,15.832936,0.3097339,3.20461,0.0394,0.98,0.164,3807.184109
UGA,Uganda,6.669498,2.9598422,7.543646,0,1,0,0,0,0,0,0,0.2,32.38633,46,72,12,-4.6051702,0,7,0,1,0,0,0,1,0,-2.8766232,-9.2103405,-6.9077554,1.7236668,10.995691,2.6991541,3.2035518,1.649949,0.9302,0.634,0.236,883.4657281
ZMB,Zambia,6.50129,3.6143613,10.893004,0,1,0,0,0,0,0,0,20,27.81663,0,71,4,-4.6051702,0,0.3,0,1,0,1,0,0,0,-3.2350078,-9.2103405,-6.9077554,-1.0485862,9.027167,2.3889136,4.8485255,3.2533774,0.7808,0.743,0.753,1134.713454
ZWE,Zimbabwe,7.1546154,1.0235521,7.925018,0,1,0,0,0,0,0,0,19,29.87154,0,57,0,-4.6051702,0,0,0,1,0,1,0,0,0,0.6928481,-9.2103405,-5.543311,-0.28108886,9.027167,2.3889136,5.453967,3.695537,0.3874,0.965,0.391,1773.920411
