,ln_export_area,ln_export_pop,abs_latitude,longitude,rain_min,humid_max,low_temp,ln_coastline_area,island_dum,islam,legor_fr,legor_uk,region_n,region_s,region_w,region_e,region_c,ln_avg_gold_pop,ln_avg_oil_pop,ln_avg_all_diamonds_pop,ln_pop_dens_1400,ln_avg_all_diamonds_pop,ln_pop_dens_1400,atlantic_distance_minimum,indian_distance_minimum,saharan_distance_minimum,red_sea_distance_minimum,LN_GDPPC$_2021,colony0,colony1,colony2,colony3,colony4,colony5,colony6,colony7,LNYR1990,LNYR1991,LNYR1992,LNYR1993,LNYR1994,LNYR1995,LNYR1996,LNYR1997,LNYR1998,LNYR1999,LNYR2000,LNYR2001,LNYR2002,LNYR2003,LNYR2004,LNYR2005,LNYR2006,LNYR2007,LNYR2008,LNYR2009,LNYR2010,LNYR2011,LNYR2012,LNYR2013,LNYR2014,LNYR2015,LNYR2016,LNYR2017,LNYR2018,LNYR2019,LNYR2020
2000,,50.568134239767836,-88.61311921455254,,188.11728854840877,-87.4231816063574,-117.63021458936528,,,,,,,,-44.279205464895696,,,-51.72549018574646,-62.372568521147954,,,,,,169.21827462354386,-44.7997102593745,-80.15730999622049,1821.6273149788371,,-22.8135238942805,,62.17201141140207,,-247.04418982959902,,583.1699854590596,-191.84040683210824,,,145.53412053406595,,,,,,,356.56032807145044,,,,,,,,,,,,,,,,,-20.517824979832046,,,-766.5785845886845
2001,,64.71090272246529,-151.9609408929197,187.88940196814815,203.53111280554558,-181.31816312524347,-51.37575606691435,,,31.61568031019971,,,,84.35785785336657,,,,-28.27187518795676,-111.35037868419892,-0.0,0.08462288056697295,-0.0,0.08462288056697295,67.32470402879339,394.01111610922777,12.241240691988137,,1804.8689844657524,52.330783495481434,-72.7387295179517,,65.49589065836149,39.97652771448306,-201.4039829425171,,462.6521560667012,-252.2439623979248,,,132.21018362135246,,,,,,,,275.2409362883078,112.97354114676389,,,,,,,,,,68.746836643969,,,,,,,,-765.9645297054079
2002,,97.12044565130526,-116.25568892055928,239.97705682620537,254.18289121373138,-264.96322938022007,-2.167642910659557,-52.017208277764055,,,,,0.0,,-16.009638605400927,,,-42.28141555034661,-147.78353939742277,-0.18098869281150506,0.013735064943264326,-0.18098869281150506,0.013735064943264326,,382.1081303343937,-15.698113456410958,,1915.8946486216028,89.63070110196452,-66.97066708743745,,132.7460865960926,31.556562584892312,-154.6354574479199,,114.09914496024135,-287.43552539776243,,,166.70405200762428,,,,,,,,,475.0540886970593,,,,,,,,,,,,,,,,,,-790.8542305877938
2003,,75.59689591399952,,,199.17613083146597,-99.45746819181055,-98.65540317209572,,,,,,0.0,,,,,-41.63103537983919,-63.7433465520616,,,,,,178.49281390887145,-0.0,-105.62092995614411,1955.6597346905085,58.99705169395168,-31.353359366882714,,55.4862782043495,78.06368882743347,-158.7255466865724,,152.41337698347868,-217.35084395658268,,,63.900910078256246,,,,,,,,,194.01985817260223,373.03175020260306,,91.91903600218957,,,,,,,,,,,,,,,-821.0667116968203
2004,,99.32245405276504,,,250.87634386336717,-109.76830048130022,-107.49230464977046,66.4662037086894,,,,,0.0,104.56306397044392,,,,-22.255890308578607,-76.55596558568583,,,,,,193.4135935513361,-32.43306908977646,-112.33988248958138,2333.4933212917285,43.413832654208946,-54.885274605428854,,30.56731452831184,96.70554280691623,-20.235259673540213,,206.16203532496706,-292.48510244357686,,,136.7278323761446,,,,,,,,,,,,746.4801106409168,,,,,,,,,,,,,,,-984.9691066848234
2005,,33.19369575304049,-150.38272125714226,,196.97169684013534,-63.22426941767377,-215.75771913924328,151.38097062165127,,89.6577906525743,-400.186793046982,,-75.17742681398282,202.5047579032532,,-3.569982153582102,39.79125458458449,,,-0.5195863896227028,0.20879182197645263,-0.5195863896227028,0.20879182197645263,,177.39103106227273,,-56.87855241235137,2738.7660649291693,,-513.9519918361482,,,74.78644391190741,240.96952382037588,,509.46272644489676,-334.5469514157489,,,92.93600473982292,,,-153.86295870823488,,,-185.42891793915814,,,,,,850.5292883281513,,,,,,,328.8876595652424,,,,,,,,-1176.4038500072954
2006,,82.94443904740471,-39.94693895435154,,273.81382050723647,-103.32503495360311,-207.54652679099652,92.27322878698939,,137.3484141130734,-600.2334234541757,,-80.69420472004445,,,-115.87638937127143,70.88579769528651,-2.4516831074002083,,-0.0,114.63058687657936,-0.0,114.63058687657936,,0.0,,-30.02606411996873,3019.009481871526,,-659.0687729118177,,111.88960535872043,81.61021724431357,350.707683803607,,734.4781923586633,-443.88479162257795,,,205.75484276168015,,,-225.16506523474013,,,-277.00246836406626,,,,,,598.0817372838497,,,,,,,711.7258725485335,,,,,,,,-1191.1907422382171
2007,,70.4508740077521,-30.430295997429102,,118.95058085401527,-208.63614358958054,-132.51795300176045,119.7225134563197,106.45288896860797,124.63652622837337,-516.1856314799941,,-145.4773540515365,,,-58.002280024673674,,0.0,87.4848992560704,-0.0,8.964070551540035,-0.0,8.964070551540035,,17.97580156939646,,,3022.9783768350335,,-685.9750290483229,-19.58406399955472,58.28906999059812,67.23326212090643,680.2279464440284,,825.0304236977244,-311.27484199065503,,,74.08896561287197,,,,,,-309.5431731809524,,,,,,14.989384230484918,,,,1086.1016164442065,,,457.2222860925279,,,,-15.116154650239988,-219.61335273149072,,-0.0,-1277.5587461581456
2008,,44.34112609550064,,,-89.72721910439742,,,,89.68258019033216,,50.45090739703591,,,-83.00912642712836,1.6164900593007565,7.2718885502833785,,-10.00677167608006,305.85301216200054,,,,,,,,,2568.592020284691,111.33118805457755,,-0.0,36.52509847587897,,1516.638587068305,,997.1780009542662,-91.60482539785235,,,,,,,,,,,,,,,,,,250.81554673997326,930.8237076769874,,,339.5113335546998,,,,-354.06852695909976,,,,-1191.6657913827125
2009,,4.593800514758689,110.34848953789431,,-27.31691178801608,-81.30963414631945,,63.53107883769425,76.46863062135772,,,,,-60.585621672484734,,,,27.51531051392879,157.17116631096957,,,,,,,,47.17953137062439,2059.250461921216,114.23560853519099,,-16.450148083857083,,81.04386212984623,940.4820576340746,,538.7811387343055,-71.01718621246093,,,,-103.87399952949322,,,,,,,,,,,,,,,1376.5789155709556,,,56.472601775845924,,,,-393.97405983787223,,,,-789.4097725154085
